date,Country,deaths,confirmed_cases
2020-05-15,Portugal,6.0,264.0
2020-06-15,Portugal,3.0,346.0
2020-08-02,Portugal,1.0,153.0
2020-08-29,Portugal,3.0,374.0
2020-06-11,Portugal,7.0,310.0
2020-01-22,Portugal,0.0,0.0
2020-08-14,Portugal,2.0,235.0
2020-09-15,Portugal,4.0,425.0
2020-07-05,Portugal,9.0,328.0
2020-09-25,Portugal,5.0,899.0
2020-05-09,Portugal,12.0,138.0
2020-10-26,Portugal,27.0,2447.0
2020-02-16,Portugal,0.0,0.0
2020-10-03,Portugal,12.0,963.0
2020-03-31,Portugal,20.0,1035.0
2020-05-04,Portugal,20.0,242.0
